0	50	100	150	200	250	300	350	400	450	500
100	0.16	0.2	0.22	0.255	0.24	0.3467	0.4	0.425	0.4333	0.45
200	0.12	0.21	0.38	0.39	0.516	0.5533	0.5714	0.6375	0.6667	0.688
300	0.04	0.43	0.4067	0.545	0.564	0.67	0.7229	0.78	0.76	0.812
400	0.24	0.51	0.52	0.68	0.772	0.7733	0.7829	0.8175	0.8178	0.866
500	0.4	0.51	0.6333	0.725	0.764	0.7833	0.82	0.8475	0.8667	0.89
600	0.34	0.53	0.6667	0.74	0.812	0.8233	0.8629	0.9	0.9044	0.886
700	0.5	0.62	0.7133	0.795	0.836	0.8867	0.9057	0.91	0.9289	0.92
800	0.36	0.65	0.74	0.805	0.86	0.8867	0.9	0.9325	0.9133	0.924
900	0.34	0.71	0.7933	0.9	0.848	0.8867	0.9229	0.9175	0.94	0.936
1000	0.42	0.65	0.7533	0.81	0.864	0.8733	0.9314	0.915	0.9267	0.93
