0	500	1000	1500	2000	2500	3000	3500	4000	4500	5000
50000	0.0104	0.0241	0.0315	0.0436	0.0557	0.0665	0.0766	0.0918	0.0989	0.1085
100000	0.0208	0.0517	0.0714	0.0914	0.1061	0.1281	0.1489	0.1656	0.1882	0.2082
150000	0.0334	0.0606	0.0942	0.125	0.16	0.1857	0.2157	0.2403	0.2644	0.292
200000	0.041	0.0908	0.1316	0.1689	0.2028	0.2457	0.2725	0.3072	0.3346	0.3727
250000	0.0518	0.1114	0.1552	0.2001	0.2494	0.2936	0.328	0.3718	0.4057	0.4318
300000	0.0752	0.1294	0.1875	0.2377	0.2938	0.3324	0.3868	0.4257	0.4632	0.4997
350000	0.079	0.1488	0.2118	0.2701	0.3365	0.3846	0.4283	0.4749	0.5104	0.5516
400000	0.0918	0.1614	0.2434	0.304	0.3716	0.4214	0.4754	0.5181	0.559	0.5986
450000	0.0938	0.1848	0.2611	0.3401	0.4005	0.4617	0.516	0.5643	0.604	0.6504
500000	0.118	0.2065	0.2928	0.3707	0.4354	0.5032	0.5498	0.6022	0.6471	0.6876
