0	50	100	150	200	250	300	350	400	450	500
50000	0	0	0	0	0.008	0	0.0114	0.025	0.01778	0.02
100000	0	0	0	0.03	0	0.0067	0.04	0.04	0.08	0.032
150000	0	0	0	0	0.016	0.04	0.0514	0.07	0.0956	0.13
200000	0	0	0	0.01	0.008	0.0467	0.1029	0.095	0.1244	0.198
250000	0	0	0.0267	0.02	0.032	0.04	0.1629	0.205	0.1956	0.254
300000	0.04	0.02	0	0.02	0.056	0.1333	0.1829	0.19	0.3067	0.382
350000	0	0	0.0133	0.01	0.08	0.14	0.2057	0.26	0.4067	0.474
400000	0	0	0.0133	0.09	0.16	0.16	0.2486	0.345	0.4489	0.53
450000	0	0.04	0	0.05	0.208	0.23	0.3571	0.4225	0.4911	0.572
500000	0	0	0.04	0.055	0.172	0.25	0.3943	0.4475	0.5933	0.666
