0	500	1000	1500	2000	2500	3000	3500	4000	4500	5000
50000	0	0	0	0	0	0	0	0.0005	0	0
100000	0	0	0	0	0	0.002	0.0006	0.003	0.0022	0.0008
150000	0	0	0	0	0.008	0.0007	0.0011	0.0005	0.0022	0.004
200000	0	0	0	0	0.008	0.0007	0.0023	0.003	0.0048	0.0112
250000	0	0	0	0.001	0.0024	0.0013	0.0023	0.0065	0.0071	0.014
300000	0	0	0	0.001	0.0024	0.0053	0.0023	0.0075	0.0133	0.0208
350000	0	0	0	0.004	0.004	0.0073	0.0091	0.013	0.0089	0.0198
400000	0	0	0	0.001	0.0032	0.006	0.0097	0.0157	0.0218	0.0256
450000	0	0	0	0.005	0.004	0.0087	0.0097	0.0165	0.0267	0.0328
500000	0	0	0	0.002	0.008	0.01	0.0206	0.021	0.0373	0.044
