0	50	100	150	200	250	300	350	400	450	500
50000	0	0	0	0.01	0.024	0.0133	0.0286	0.04	0.0933	0.074
100000	0	0	0	0.04	0.016	0.0667	0.12	0.1425	0.2044	0.252
150000	0	0	0.0267	0.11	0.032	0.18	0.2629	0.2875	0.3356	0.438
200000	0	0	0.0267	0.1	0.164	0.2567	0.3514	0.5475	0.5533	0.634
250000	0	0.02	0.1	0.14	0.216	0.3767	0.48	0.54	0.6356	0.766
300000	0	0.04	0.0933	0.13	0.28	0.48	0.5886	0.6575	0.7622	0.816
350000	0	0.06	0.1467	0.26	0.36	0.4867	0.6829	0.7425	0.7822	0.858
400000	0	0.02	0.0667	0.17	0.432	0.5733	0.68	0.8075	0.9022	0.908
450000	0.04	0.06	0.1333	0.295	0.508	0.6767	0.74	0.865	0.8844	0.93
500000	0	0.04	0.2133	0.43	0.504	0.7567	0.8143	0.8625	0.8956	0.934
