0	500	1000	1500	2000	2500	3000	3500	4000	4500	5000
50000	0	0	0.0013	0.002	0.0092	0.0087	0.0146	0.0245	0.0298	0.0352
100000	0	0	0.0107	0.014	0.03	0.0287	0.0566	0.0545	0.072	0.083
150000	0	0	0.0213	0.022	0.0568	0.0743	0.0803	0.1063	0.1196	0.1434
200000	0	0.008	0.012	0.0545	0.068	0.1017	0.1131	0.1303	0.1731	0.1838
250000	0	0.01	0.024	0.067	0.0992	0.1343	0.16	0.178	0.2124	0.2344
300000	0	0.012	0.0267	0.085	0.1192	0.1503	0.1786	0.2108	0.2607	0.2836
350000	0	0.016	0.0387	0.108	0.13	0.186	0.2217	0.2463	0.2913	0.3174
400000	0.004	0.02	0.0753	0.1255	0.1664	0.2187	0.2646	0.2965	0.3248	0.3508
450000	0	0.043	0.0733	0.133	0.192	0.2103	0.2829	0.3373	0.3776	0.4122
500000	0.004	0.036	0.0947	0.143	0.2284	0.2657	0.3277	0.3405	0.3944	0.4472
