N: 50, e: 100, t1: 1, rate: 0.16

N: 50, e: 200, t1: 1, rate: 0.12

N: 50, e: 300, t1: 1, rate: 0.04

N: 50, e: 400, t1: 1, rate: 0.24

N: 50, e: 500, t1: 1, rate: 0.4

N: 50, e: 600, t1: 1, rate: 0.34

N: 50, e: 700, t1: 1, rate: 0.5

N: 50, e: 800, t1: 1, rate: 0.36

N: 50, e: 900, t1: 1, rate: 0.34

N: 50, e: 1000, t1: 1, rate: 0.42

N: 100, e: 100, t1: 1, rate: 0.2

N: 100, e: 200, t1: 1, rate: 0.21

N: 100, e: 300, t1: 1, rate: 0.43

N: 100, e: 400, t1: 1, rate: 0.51

N: 100, e: 500, t1: 1, rate: 0.51

N: 100, e: 600, t1: 1, rate: 0.53

N: 100, e: 700, t1: 1, rate: 0.62

N: 100, e: 800, t1: 1, rate: 0.65

N: 100, e: 900, t1: 1, rate: 0.71

N: 100, e: 1000, t1: 1, rate: 0.65

N: 150, e: 100, t1: 1, rate: 0.22

N: 150, e: 200, t1: 1, rate: 0.38

N: 150, e: 300, t1: 1, rate: 0.406666666666667

N: 150, e: 400, t1: 1, rate: 0.52

N: 150, e: 500, t1: 1, rate: 0.633333333333333

N: 150, e: 600, t1: 1, rate: 0.666666666666667

N: 150, e: 700, t1: 1, rate: 0.713333333333333

N: 150, e: 800, t1: 1, rate: 0.74

N: 150, e: 900, t1: 1, rate: 0.793333333333333

N: 150, e: 1000, t1: 1, rate: 0.753333333333333

N: 200, e: 100, t1: 1, rate: 0.255

N: 200, e: 200, t1: 1, rate: 0.39

N: 200, e: 300, t1: 1, rate: 0.545

N: 200, e: 400, t1: 1, rate: 0.68

N: 200, e: 500, t1: 1, rate: 0.725

N: 200, e: 600, t1: 1, rate: 0.74

N: 200, e: 700, t1: 1, rate: 0.795

N: 200, e: 800, t1: 1, rate: 0.805

N: 200, e: 900, t1: 1, rate: 0.9

N: 200, e: 1000, t1: 1, rate: 0.81

N: 250, e: 100, t1: 1, rate: 0.24

N: 250, e: 200, t1: 1, rate: 0.516

N: 250, e: 300, t1: 1, rate: 0.564

N: 250, e: 400, t1: 1, rate: 0.772

N: 250, e: 500, t1: 1, rate: 0.764

N: 250, e: 600, t1: 1, rate: 0.812

N: 250, e: 700, t1: 1, rate: 0.836

N: 250, e: 800, t1: 1, rate: 0.86

N: 250, e: 900, t1: 1, rate: 0.848

N: 250, e: 1000, t1: 1, rate: 0.864

N: 300, e: 100, t1: 1, rate: 0.346666666666667

N: 300, e: 200, t1: 1, rate: 0.553333333333333

N: 300, e: 300, t1: 1, rate: 0.67

N: 300, e: 400, t1: 1, rate: 0.773333333333333

N: 300, e: 500, t1: 1, rate: 0.783333333333333

N: 300, e: 600, t1: 1, rate: 0.823333333333333

N: 300, e: 700, t1: 1, rate: 0.886666666666667

N: 300, e: 800, t1: 1, rate: 0.886666666666667

N: 300, e: 900, t1: 1, rate: 0.886666666666667

N: 300, e: 1000, t1: 1, rate: 0.873333333333333

N: 350, e: 100, t1: 1, rate: 0.4

N: 350, e: 200, t1: 1, rate: 0.571428571428571

N: 350, e: 300, t1: 1, rate: 0.722857142857143

N: 350, e: 400, t1: 1, rate: 0.782857142857143

N: 350, e: 500, t1: 1, rate: 0.82

N: 350, e: 600, t1: 1, rate: 0.862857142857143

N: 350, e: 700, t1: 1, rate: 0.905714285714286

N: 350, e: 800, t1: 1, rate: 0.9

N: 350, e: 900, t1: 1, rate: 0.922857142857143

N: 350, e: 1000, t1: 1, rate: 0.931428571428571

N: 400, e: 100, t1: 1, rate: 0.425

N: 400, e: 200, t1: 1, rate: 0.6375

N: 400, e: 300, t1: 1, rate: 0.78

N: 400, e: 400, t1: 1, rate: 0.8175

N: 400, e: 500, t1: 1, rate: 0.8475

N: 400, e: 600, t1: 1, rate: 0.9

N: 400, e: 700, t1: 1, rate: 0.91

N: 400, e: 800, t1: 1, rate: 0.9325

N: 400, e: 900, t1: 1, rate: 0.9175

N: 400, e: 1000, t1: 1, rate: 0.915

N: 450, e: 100, t1: 1, rate: 0.433333333333333

N: 450, e: 200, t1: 1, rate: 0.666666666666667

N: 450, e: 300, t1: 1, rate: 0.76

N: 450, e: 400, t1: 1, rate: 0.817777777777778

N: 450, e: 500, t1: 1, rate: 0.866666666666667

N: 450, e: 600, t1: 1, rate: 0.904444444444444

N: 450, e: 700, t1: 1, rate: 0.928888888888889

N: 450, e: 800, t1: 1, rate: 0.913333333333333

N: 450, e: 900, t1: 1, rate: 0.94

N: 450, e: 1000, t1: 1, rate: 0.926666666666667

N: 500, e: 100, t1: 1, rate: 0.45

N: 500, e: 200, t1: 1, rate: 0.688

N: 500, e: 300, t1: 1, rate: 0.812

N: 500, e: 400, t1: 1, rate: 0.866

N: 500, e: 500, t1: 1, rate: 0.89

N: 500, e: 600, t1: 1, rate: 0.886

N: 500, e: 700, t1: 1, rate: 0.92

N: 500, e: 800, t1: 1, rate: 0.924

N: 500, e: 900, t1: 1, rate: 0.936

N: 500, e: 1000, t1: 1, rate: 0.93

