N: 50, e: 50000, t1: 8928540, rate: 0

N: 50, e: 100000, t1: 8928540, rate: 0

N: 50, e: 150000, t1: 8928540, rate: 0

N: 50, e: 200000, t1: 8928540, rate: 0

N: 50, e: 250000, t1: 8928540, rate: 0

N: 50, e: 300000, t1: 8928540, rate: 0.04

N: 50, e: 350000, t1: 8928540, rate: 0

N: 50, e: 400000, t1: 8928540, rate: 0

N: 50, e: 450000, t1: 8928540, rate: 0

N: 50, e: 500000, t1: 8928540, rate: 0

N: 100, e: 50000, t1: 8928540, rate: 0

N: 100, e: 100000, t1: 8928540, rate: 0

N: 100, e: 150000, t1: 8928540, rate: 0

N: 100, e: 200000, t1: 8928540, rate: 0

N: 100, e: 250000, t1: 8928540, rate: 0

N: 100, e: 300000, t1: 8928540, rate: 0.02

N: 100, e: 350000, t1: 8928540, rate: 0

N: 100, e: 400000, t1: 8928540, rate: 0

N: 100, e: 450000, t1: 8928540, rate: 0.04

N: 100, e: 500000, t1: 8928540, rate: 0

N: 150, e: 50000, t1: 8928540, rate: 0

N: 150, e: 100000, t1: 8928540, rate: 0

N: 150, e: 150000, t1: 8928540, rate: 0

N: 150, e: 200000, t1: 8928540, rate: 0

N: 150, e: 250000, t1: 8928540, rate: 0.0266666666666667

N: 150, e: 300000, t1: 8928540, rate: 0

N: 150, e: 350000, t1: 8928540, rate: 0.0133333333333333

N: 150, e: 400000, t1: 8928540, rate: 0.0133333333333333

N: 150, e: 450000, t1: 8928540, rate: 0

N: 150, e: 500000, t1: 8928540, rate: 0.04

N: 200, e: 50000, t1: 8928540, rate: 0

N: 200, e: 100000, t1: 8928540, rate: 0.03

N: 200, e: 150000, t1: 8928540, rate: 0

N: 200, e: 200000, t1: 8928540, rate: 0.01

N: 200, e: 250000, t1: 8928540, rate: 0.02

N: 200, e: 300000, t1: 8928540, rate: 0.02

N: 200, e: 350000, t1: 8928540, rate: 0.01

N: 200, e: 400000, t1: 8928540, rate: 0.09

N: 200, e: 450000, t1: 8928540, rate: 0.05

N: 200, e: 500000, t1: 8928540, rate: 0.055

N: 250, e: 50000, t1: 8928540, rate: 0.008

N: 250, e: 100000, t1: 8928540, rate: 0

N: 250, e: 150000, t1: 8928540, rate: 0.016

N: 250, e: 200000, t1: 8928540, rate: 0.008

N: 250, e: 250000, t1: 8928540, rate: 0.032

N: 250, e: 300000, t1: 8928540, rate: 0.056

N: 250, e: 350000, t1: 8928540, rate: 0.08

N: 250, e: 400000, t1: 8928540, rate: 0.16

N: 250, e: 450000, t1: 8928540, rate: 0.208

N: 250, e: 500000, t1: 8928540, rate: 0.172

N: 300, e: 50000, t1: 8928540, rate: 0

N: 300, e: 100000, t1: 8928540, rate: 0.00666666666666667

N: 300, e: 150000, t1: 8928540, rate: 0.04

N: 300, e: 200000, t1: 8928540, rate: 0.0466666666666667

N: 300, e: 250000, t1: 8928540, rate: 0.04

N: 300, e: 300000, t1: 8928540, rate: 0.133333333333333

N: 300, e: 350000, t1: 8928540, rate: 0.14

N: 300, e: 400000, t1: 8928540, rate: 0.16

N: 300, e: 450000, t1: 8928540, rate: 0.23

N: 300, e: 500000, t1: 8928540, rate: 0.25

N: 350, e: 50000, t1: 8928540, rate: 0.0114285714285714

N: 350, e: 100000, t1: 8928540, rate: 0.04

N: 350, e: 150000, t1: 8928540, rate: 0.0514285714285714

N: 350, e: 200000, t1: 8928540, rate: 0.102857142857143

N: 350, e: 250000, t1: 8928540, rate: 0.162857142857143

N: 350, e: 300000, t1: 8928540, rate: 0.182857142857143

N: 350, e: 350000, t1: 8928540, rate: 0.205714285714286

N: 350, e: 400000, t1: 8928540, rate: 0.248571428571429

N: 350, e: 450000, t1: 8928540, rate: 0.357142857142857

N: 350, e: 500000, t1: 8928540, rate: 0.394285714285714

N: 400, e: 50000, t1: 8928540, rate: 0.025

N: 400, e: 100000, t1: 8928540, rate: 0.04

N: 400, e: 150000, t1: 8928540, rate: 0.07

N: 400, e: 200000, t1: 8928540, rate: 0.095

N: 400, e: 250000, t1: 8928540, rate: 0.205

N: 400, e: 300000, t1: 8928540, rate: 0.19

