N: 50, e: 50000, t1: 3720225, rate: 0

N: 50, e: 100000, t1: 3720225, rate: 0

N: 50, e: 150000, t1: 3720225, rate: 0

N: 50, e: 200000, t1: 3720225, rate: 0

N: 50, e: 250000, t1: 3720225, rate: 0

N: 50, e: 300000, t1: 3720225, rate: 0

N: 50, e: 350000, t1: 3720225, rate: 0

N: 50, e: 400000, t1: 3720225, rate: 0

N: 50, e: 450000, t1: 3720225, rate: 0.04

N: 50, e: 500000, t1: 3720225, rate: 0

N: 100, e: 50000, t1: 3720225, rate: 0

N: 100, e: 100000, t1: 3720225, rate: 0

N: 100, e: 150000, t1: 3720225, rate: 0

N: 100, e: 200000, t1: 3720225, rate: 0

N: 100, e: 250000, t1: 3720225, rate: 0.02

N: 100, e: 300000, t1: 3720225, rate: 0.04

N: 100, e: 350000, t1: 3720225, rate: 0.06

N: 100, e: 400000, t1: 3720225, rate: 0.02

N: 100, e: 450000, t1: 3720225, rate: 0.06

N: 100, e: 500000, t1: 3720225, rate: 0.04

N: 150, e: 50000, t1: 3720225, rate: 0

N: 150, e: 100000, t1: 3720225, rate: 0

N: 150, e: 150000, t1: 3720225, rate: 0.0266666666666667

N: 150, e: 200000, t1: 3720225, rate: 0.0266666666666667

N: 150, e: 250000, t1: 3720225, rate: 0.1

N: 150, e: 300000, t1: 3720225, rate: 0.0933333333333333

N: 150, e: 350000, t1: 3720225, rate: 0.146666666666667

N: 150, e: 400000, t1: 3720225, rate: 0.0666666666666667

N: 150, e: 450000, t1: 3720225, rate: 0.133333333333333

N: 150, e: 500000, t1: 3720225, rate: 0.213333333333333

N: 200, e: 50000, t1: 3720225, rate: 0.01

N: 200, e: 100000, t1: 3720225, rate: 0.04

N: 200, e: 150000, t1: 3720225, rate: 0.11

N: 200, e: 200000, t1: 3720225, rate: 0.1

N: 200, e: 250000, t1: 3720225, rate: 0.14

N: 200, e: 300000, t1: 3720225, rate: 0.13

N: 200, e: 350000, t1: 3720225, rate: 0.26

N: 200, e: 400000, t1: 3720225, rate: 0.17

N: 200, e: 450000, t1: 3720225, rate: 0.295

N: 200, e: 500000, t1: 3720225, rate: 0.43

N: 250, e: 50000, t1: 3720225, rate: 0.024

N: 250, e: 100000, t1: 3720225, rate: 0.016

N: 250, e: 150000, t1: 3720225, rate: 0.032

